Genotype,predicted.value,std.error,status
AMADEUS,34.259522132867,0.594856696439053,Estimable
DOR 390,34.2595288075986,0.594856730448125,Estimable
G40056,34.2595258193791,0.594856649826531,Estimable
G40111,34.259549974361,0.594856705731507,Estimable
G40287,34.2595230124033,0.594856935511074,Estimable
GCDT_001,34.2595305246494,0.594856656610907,Estimable
GCDT_002,34.2594750283235,0.594856665345801,Estimable
GCDT_003,34.2594821437606,0.59485660182813,Estimable
GCDT_004,34.2595268119885,0.594856614637905,Estimable
GCDT_005,34.2595052190664,0.594856715131275,Estimable
GCDT_006,34.259538326139,0.594856732153145,Estimable
GCDT_007,34.2595244665488,0.594856508724039,Estimable
GCDT_008,34.2595211971195,0.594856666373269,Estimable
GCDT_009,34.2595159488822,0.594856722925955,Estimable
GCDT_010,34.2594810850967,0.594856588278615,Estimable
GCDT_011,34.2595155833334,0.594856695987259,Estimable
GCDT_012,34.2595251208105,0.594856636944995,Estimable
GCDT_013,34.2595387607939,0.594856652226892,Estimable
GCDT_014,34.2594726345405,0.594856674517011,Estimable
GCDT_015,34.2594931413692,0.594856756770932,Estimable
GCDT_016,34.2594918805899,0.594856650040386,Estimable
GCDT_017,34.2595158807889,0.594856662684118,Estimable
GCDT_018,34.2595359784981,0.594856695237656,Estimable
GCDT_019,34.2595195120545,0.594856779503116,Estimable
GCDT_020,34.2595117558241,0.594856687712153,Estimable
GCDT_022,34.2595230124033,0.594856935511074,Estimable
GCDT_023,34.2595313828431,0.594856686356555,Estimable
GCDT_024,34.259517198367,0.594856685838835,Estimable
GCDT_025,34.2595211670855,0.594856590174211,Estimable
GCDT_026,34.2595592551326,0.594856671113534,Estimable
GCDT_028,34.2595230124033,0.594856935511074,Estimable
GCDT_029,34.2595216154999,0.59485663197299,Estimable
GCDT_030,34.2595258049228,0.594856700660139,Estimable
GCDT_031,34.2595111312934,0.594856598091113,Estimable
GCDT_032,34.2595272867531,0.594856602132669,Estimable
GCDT_033,34.2595294789641,0.594856580175938,Estimable
GCDT_034,34.2595392060162,0.594856639684849,Estimable
GCDT_035,34.2595208011709,0.594856611737934,Estimable
GCDT_036,34.2595315799111,0.59485665689861,Estimable
GCDT_037,34.2595210974621,0.594856792908885,Estimable
GCDT_038,34.2595432274388,0.594856680475114,Estimable
GCDT_039,34.2595274767788,0.594856650646014,Estimable
GCDT_040,34.2595164165807,0.594856764228358,Estimable
GCDT_041,34.2594909935342,0.59485666650772,Estimable
GCDT_042,34.2595230124033,0.594856935511074,Estimable
GCDT_043,34.2595337499863,0.594856710580741,Estimable
GCDT_044,34.2595358269354,0.59485664833484,Estimable
GCDT_045,34.2595167823306,0.594856581815448,Estimable
GCDT_046,34.2595092685011,0.594856644518516,Estimable
GCDT_047,34.2595098178502,0.594856651353384,Estimable
GCDT_048,34.2595152238654,0.594856637715894,Estimable
GCDT_049,34.2595228393488,0.59485680337976,Estimable
GCDT_050,34.2595173090652,0.594856715480544,Estimable
GCDT_051,34.2595191747196,0.594856691241211,Estimable
GCDT_052,34.2595392804105,0.594856666406954,Estimable
GCDT_053,34.2595320164323,0.594856648306025,Estimable
GCDT_054,34.2595313214112,0.594856659749251,Estimable
GCDT_055,34.2595113413765,0.594856674791008,Estimable
GCDT_056,34.2595356270791,0.594856632840723,Estimable
GCDT_057,34.2595144593879,0.594856637287043,Estimable
GCDT_058,34.2595281211722,0.594856600905523,Estimable
GCDT_059,34.2595359808754,0.594856631600794,Estimable
GCDT_060,34.2595300037852,0.594856696876296,Estimable
GCDT_061,34.2594990711395,0.594856664035045,Estimable
GCDT_062,34.2595640334071,0.594856730683643,Estimable
GCDT_063,34.2595106227996,0.594856626741824,Estimable
GCDT_064,34.2595354691597,0.594856601487551,Estimable
GCDT_065,34.2595599109765,0.59485662429378,Estimable
GCDT_066,34.259514219863,0.594856718388606,Estimable
GCDT_067,34.2595180451094,0.594856823413104,Estimable
GCDT_068,34.2595187274967,0.594856640881635,Estimable
GCDT_069,34.2595133829061,0.594856526489728,Estimable
GCDT_070,34.2595282642241,0.594856645881647,Estimable
GCDT_071,34.2594739950536,0.594856627930264,Estimable
GCDT_072,34.2595146600554,0.594856631204217,Estimable
GCDT_073,34.2595221293122,0.594856675574334,Estimable
GCDT_074,34.2594975333094,0.594856568494489,Estimable
GCDT_075,34.2594933395496,0.59485666722472,Estimable
GCDT_076,34.2594984606568,0.594856747442579,Estimable
GCDT_077,34.2595000739666,0.594856543556086,Estimable
GCDT_078,34.2595314465702,0.594856762168664,Estimable
GCDT_079,34.2595312543287,0.594856654321485,Estimable
GCDT_080,34.2595230124033,0.594856935511074,Estimable
GCDT_081,34.2595303973323,0.594856633419394,Estimable
GCDT_082,34.2595441937131,0.594856684457385,Estimable
GCDT_083,34.2595404196629,0.594856651285897,Estimable
GCDT_084,34.2595290192163,0.594856617181881,Estimable
GCDT_085,34.2595191633034,0.594856804305424,Estimable
GCDT_086,34.2595354818395,0.594856683332936,Estimable
GCDT_089,34.2595268514438,0.59485665037653,Estimable
GCDT_090,34.2595214869087,0.594856683075917,Estimable
GCDT_091,34.259490244072,0.59485674859858,Estimable
GCDT_092,34.2595003692849,0.594856641802502,Estimable
GCDT_093,34.259488762518,0.594856639037257,Estimable
GCDT_094,34.2595103828619,0.594856566924408,Estimable
GCDT_095,34.2594790359327,0.594856764353719,Estimable
GCDT_096,34.2594988082537,0.594856636196773,Estimable
GCDT_097,34.2595179106663,0.594856669388353,Estimable
GCDT_098,34.259513220344,0.594856668646818,Estimable
GCDT_099,34.2595446061752,0.594856606785235,Estimable
GCDT_100,34.2595230124033,0.594856935511074,Estimable
GCDT_101,34.2595271523647,0.594856704473663,Estimable
GCDT_102,34.2595584232055,0.594856650976625,Estimable
GCDT_103,34.2595449812579,0.594856724272777,Estimable
GCDT_104,34.2595098217034,0.594856729343881,Estimable
GCDT_105,34.2595515761765,0.594856584646865,Estimable
GCDT_106,34.2595184377456,0.594856651913761,Estimable
GCDT_107,34.2595433593567,0.59485665228447,Estimable
GCDT_108,34.2595230124033,0.594856935511074,Estimable
