Genotype,predicted.value,std.error,status
AMADEUS,39.4979235872154,0.286972873260986,Estimable
DOR 390,39.4979237939114,0.286972874062192,Estimable
G40056,39.4979235399105,0.286972875047557,Estimable
G40111,39.4979232782434,0.286972875553,Estimable
G40287,39.4979238415745,0.286972872417112,Estimable
GCDT_001,39.4979234532769,0.28697287305783,Estimable
GCDT_002,39.497923267705,0.2869728729516,Estimable
GCDT_003,39.4979234153917,0.286972873478024,Estimable
GCDT_004,39.4979233825448,0.286972874751461,Estimable
GCDT_005,39.4979235061999,0.286972881413078,Estimable
GCDT_006,39.4979237542798,0.286972872038099,Estimable
GCDT_007,39.4979233316838,0.286972873116432,Estimable
GCDT_008,39.4979233956804,0.286972872749837,Estimable
GCDT_009,39.4979235495249,0.286972872914753,Estimable
GCDT_010,39.4979232733259,0.286972871630988,Estimable
GCDT_011,39.4979235644882,0.286972872147736,Estimable
GCDT_012,39.4979236260153,0.286972871438606,Estimable
GCDT_013,39.4979234990454,0.286972875117987,Estimable
GCDT_014,39.497923185367,0.286972872608196,Estimable
GCDT_015,39.4979235061999,0.286972881413078,Estimable
GCDT_016,39.4979232231074,0.2869728745228,Estimable
GCDT_017,39.4979234862529,0.286972876375439,Estimable
GCDT_018,39.4979235144386,0.286972873029689,Estimable
GCDT_019,39.4979235679503,0.286972872891971,Estimable
GCDT_020,39.4979236416959,0.286972874218431,Estimable
GCDT_021,39.4979237143926,0.28697287481238,Estimable
GCDT_022,39.4979237019695,0.286972872004737,Estimable
GCDT_023,39.497923419164,0.286972875149844,Estimable
GCDT_024,39.4979235061999,0.286972881413078,Estimable
GCDT_025,39.4979238266655,0.286972874970511,Estimable
GCDT_026,39.4979234333413,0.28697287316698,Estimable
GCDT_027,39.4979231195266,0.286972874541879,Estimable
GCDT_028,39.4979237315752,0.286972874646706,Estimable
GCDT_029,39.4979233974817,0.286972874767223,Estimable
GCDT_030,39.4979231961367,0.28697287356897,Estimable
GCDT_031,39.497923494982,0.286972873703347,Estimable
GCDT_032,39.4979234387325,0.286972874659417,Estimable
GCDT_033,39.4979236146953,0.286972875439759,Estimable
GCDT_034,39.4979237280314,0.286972874512584,Estimable
GCDT_035,39.497923401136,0.286972875027878,Estimable
GCDT_036,39.4979236509727,0.286972875667004,Estimable
GCDT_037,39.4979234528022,0.286972873178833,Estimable
GCDT_038,39.4979235757851,0.286972876076744,Estimable
GCDT_039,39.497923553524,0.286972873777272,Estimable
GCDT_040,39.4979237346129,0.286972872866254,Estimable
GCDT_041,39.4979235309267,0.286972872318818,Estimable
GCDT_042,39.4979233047493,0.286972872929533,Estimable
GCDT_043,39.4979235061999,0.286972881413078,Estimable
GCDT_044,39.4979236746244,0.286972872284482,Estimable
GCDT_045,39.4979234786855,0.286972873451962,Estimable
GCDT_046,39.4979236828645,0.286972873515138,Estimable
GCDT_047,39.4979232516359,0.286972873642412,Estimable
GCDT_048,39.4979231379035,0.286972873465693,Estimable
GCDT_049,39.4979236359084,0.286972872633184,Estimable
GCDT_050,39.4979237725615,0.286972872707335,Estimable
GCDT_051,39.4979238058588,0.286972871764166,Estimable
GCDT_052,39.4979230909807,0.286972872934699,Estimable
GCDT_053,39.497923300022,0.286972872069623,Estimable
GCDT_054,39.4979234797293,0.286972873042442,Estimable
GCDT_055,39.4979235968204,0.286972873031406,Estimable
GCDT_056,39.4979233773891,0.286972871911029,Estimable
GCDT_057,39.497923427995,0.286972872417477,Estimable
GCDT_058,39.4979233361711,0.286972873687516,Estimable
GCDT_059,39.4979235061999,0.286972881413078,Estimable
GCDT_060,39.4979236824627,0.286972872202707,Estimable
GCDT_061,39.4979237706092,0.286972873452684,Estimable
GCDT_062,39.4979235061999,0.286972881413078,Estimable
GCDT_063,39.497923497997,0.286972874178082,Estimable
GCDT_064,39.4979235061999,0.286972881413078,Estimable
GCDT_065,39.4979231201286,0.286972875406297,Estimable
GCDT_066,39.4979235061999,0.286972881413078,Estimable
GCDT_067,39.4979235685112,0.286972874177788,Estimable
GCDT_068,39.4979233187818,0.286972871208743,Estimable
GCDT_069,39.4979233230534,0.286972872226201,Estimable
GCDT_070,39.4979232222788,0.28697287610745,Estimable
GCDT_071,39.4979235061999,0.286972881413078,Estimable
GCDT_072,39.4979236147415,0.286972874341532,Estimable
GCDT_073,39.4979236921273,0.286972872869834,Estimable
GCDT_074,39.4979236486858,0.286972874482047,Estimable
GCDT_075,39.497923104427,0.286972874525035,Estimable
GCDT_076,39.4979237375194,0.286972872476245,Estimable
GCDT_077,39.497923648916,0.286972873216218,Estimable
GCDT_078,39.497923576261,0.286972873190453,Estimable
GCDT_079,39.4979234820609,0.286972874220403,Estimable
GCDT_080,39.4979236642196,0.28697287330476,Estimable
GCDT_081,39.4979237292927,0.286972872241258,Estimable
GCDT_082,39.4979235737107,0.286972873238781,Estimable
