Genotype,predicted.value,std.error,status
AMADEUS,38.9169087705781,1.07907015349371,Estimable
DOR 390,38.9169091943221,1.07907015251342,Estimable
G40056,38.9169088638365,1.07907015227965,Estimable
G40111,38.9169088189221,1.0790701530362,Estimable
G40287,38.9169092650736,1.07907015241906,Estimable
GCDT_001,38.9169086504975,1.07907015143464,Estimable
GCDT_002,38.9169082098164,1.07907015334114,Estimable
GCDT_003,38.9169083947088,1.07907015217177,Estimable
GCDT_004,38.9169086032656,1.07907015168528,Estimable
GCDT_005,38.9169089271254,1.07907015268571,Estimable
GCDT_006,38.9169085452559,1.07907015461534,Estimable
GCDT_007,38.9169086554775,1.07907015246609,Estimable
GCDT_008,38.916908538814,1.07907015142232,Estimable
GCDT_009,38.9169083513645,1.07907015256527,Estimable
GCDT_010,38.916908365193,1.07907015244398,Estimable
GCDT_011,38.9169081784765,1.0790701520437,Estimable
GCDT_012,38.9169086561379,1.07907015616413,Estimable
GCDT_013,38.9169086939668,1.07907015281726,Estimable
GCDT_014,38.9169085887929,1.07907015223725,Estimable
GCDT_015,38.9169086207032,1.07907015219041,Estimable
GCDT_016,38.9169090837548,1.07907015225393,Estimable
GCDT_017,38.91690894272,1.07907015093135,Estimable
GCDT_018,38.9169087131734,1.07907015422701,Estimable
GCDT_019,38.9169085865099,1.07907015328353,Estimable
GCDT_021,38.9169081660641,1.07907015238462,Estimable
GCDT_022,38.9169087001372,1.07907015337406,Estimable
GCDT_023,38.9169085665201,1.07907015264521,Estimable
GCDT_024,38.9169086875976,1.07907015307787,Estimable
GCDT_025,38.9169081700275,1.0790701518502,Estimable
GCDT_026,38.9169085782062,1.07907015324281,Estimable
GCDT_027,38.9169086816803,1.07907015293059,Estimable
GCDT_028,38.9169090755238,1.07907015451709,Estimable
GCDT_029,38.9169091532938,1.07907015203219,Estimable
GCDT_030,38.91690881269,1.07907015269832,Estimable
GCDT_031,38.916908487237,1.07907015225671,Estimable
GCDT_032,38.9169086682386,1.07907015344291,Estimable
GCDT_033,38.9169089193672,1.07907015439175,Estimable
GCDT_034,38.9169086036674,1.07907015336274,Estimable
GCDT_035,38.9169086003317,1.07907015305076,Estimable
GCDT_036,38.9169091198851,1.07907015143733,Estimable
