Genotype,predicted.value,std.error,status
AMADEUS,42.2977269375471,0.276142726227918,Estimable
DOR 390,42.2977272450071,0.276142713668978,Estimable
G40056,42.2977271848825,0.276142713291327,Estimable
G40111,42.297726709739,0.276142720077926,Estimable
G40287,42.2977266077345,0.276142715046537,Estimable
GCDT_001,42.2977272344382,0.27614271403434,Estimable
GCDT_002,42.2977266262723,0.276142715227523,Estimable
GCDT_003,42.2977270231582,0.27614271512143,Estimable
GCDT_004,42.297726663131,0.276142711606784,Estimable
GCDT_005,42.2977267758065,0.27614271394455,Estimable
GCDT_006,42.2977269011671,0.276142717848339,Estimable
GCDT_007,42.2977268254583,0.276142712955574,Estimable
GCDT_008,42.2977266436742,0.276142715060877,Estimable
GCDT_009,42.2977267823905,0.276142713371795,Estimable
GCDT_010,42.297726865775,0.276142715374773,Estimable
GCDT_011,42.2977271859246,0.276142713175972,Estimable
GCDT_012,42.2977269680573,0.276142716683661,Estimable
GCDT_013,42.2977267944975,0.2761427164294,Estimable
GCDT_014,42.2977268229842,0.276142715700882,Estimable
GCDT_015,42.2977269148127,0.276142715562913,Estimable
GCDT_016,42.2977272374686,0.276142714343298,Estimable
GCDT_017,42.2977272043481,0.276142720091753,Estimable
GCDT_018,42.2977269029019,0.276142713491514,Estimable
GCDT_019,42.2977267315992,0.276142715989167,Estimable
GCDT_020,42.29772690131,0.276142713099099,Estimable
GCDT_021,42.2977266310619,0.276142713619524,Estimable
GCDT_022,42.2977270987802,0.276142718183381,Estimable
GCDT_023,42.2977268538412,0.276142715815402,Estimable
GCDT_024,42.2977271503256,0.276142718204055,Estimable
GCDT_025,42.2977267736772,0.276142714161204,Estimable
GCDT_026,42.2977270664429,0.276142714514603,Estimable
GCDT_027,42.2977271472795,0.276142715192537,Estimable
GCDT_028,42.2977269375471,0.276142726227918,Estimable
GCDT_029,42.2977269375471,0.276142726227918,Estimable
GCDT_030,42.2977269620171,0.276142716836663,Estimable
GCDT_031,42.2977269720434,0.276142712086808,Estimable
GCDT_032,42.2977268327577,0.276142714592963,Estimable
GCDT_033,42.2977270867663,0.276142715855151,Estimable
GCDT_034,42.2977270851448,0.276142713813629,Estimable
GCDT_035,42.2977270708245,0.276142714032479,Estimable
GCDT_036,42.2977267228447,0.276142714973322,Estimable
GCDT_037,42.2977271422138,0.276142715467501,Estimable
GCDT_038,42.2977269244589,0.276142715112559,Estimable
GCDT_039,42.2977269375471,0.276142726227918,Estimable
GCDT_040,42.2977269476215,0.276142717269676,Estimable
GCDT_041,42.2977269423511,0.276142718274721,Estimable
GCDT_042,42.2977269929207,0.27614271514963,Estimable
GCDT_043,42.297726755425,0.276142717072915,Estimable
GCDT_044,42.297727326502,0.276142714161308,Estimable
GCDT_045,42.2977271039307,0.276142716299536,Estimable
GCDT_046,42.2977269717009,0.276142714911313,Estimable
GCDT_047,42.2977269375471,0.276142726227918,Estimable
GCDT_048,42.2977266909947,0.276142718373691,Estimable
GCDT_049,42.2977271176286,0.276142713787976,Estimable
GCDT_050,42.2977268169308,0.276142713251058,Estimable
GCDT_051,42.2977271534635,0.276142711910791,Estimable
GCDT_052,42.2977272016776,0.276142715283117,Estimable
GCDT_053,42.2977272252653,0.276142719449795,Estimable
GCDT_054,42.2977274433625,0.276142719716911,Estimable
GCDT_055,42.2977267414109,0.276142715092178,Estimable
GCDT_056,42.2977270414372,0.276142717376329,Estimable
GCDT_057,42.2977269708628,0.276142713216598,Estimable
GCDT_058,42.2977271121297,0.276142715523897,Estimable
GCDT_059,42.2977270280118,0.276142711685093,Estimable
GCDT_060,42.2977269375471,0.276142726227918,Estimable
GCDT_061,42.2977269375471,0.276142726227918,Estimable
GCDT_062,42.2977271364493,0.276142713893962,Estimable
GCDT_063,42.2977271033997,0.276142716585623,Estimable
GCDT_064,42.2977269375471,0.276142726227918,Estimable
GCDT_065,42.2977273772843,0.276142714595376,Estimable
GCDT_066,42.2977268730094,0.276142714367682,Estimable
GCDT_067,42.2977270855555,0.276142716965387,Estimable
GCDT_068,42.2977271264877,0.27614271932941,Estimable
GCDT_069,42.2977270042484,0.276142712849008,Estimable
GCDT_070,42.297726976976,0.27614271268912,Estimable
GCDT_071,42.2977265227388,0.276142713828495,Estimable
GCDT_072,42.2977272346412,0.276142714358081,Estimable
GCDT_073,42.2977267717658,0.276142713155267,Estimable
GCDT_074,42.2977267273623,0.27614271535324,Estimable
GCDT_075,42.2977271532975,0.276142713260094,Estimable
GCDT_076,42.2977267176249,0.276142713746698,Estimable
GCDT_077,42.2977268254324,0.276142715492018,Estimable
GCDT_078,42.2977270975557,0.27614271641918,Estimable
GCDT_079,42.2977271327935,0.276142716989652,Estimable
GCDT_080,42.2977269420523,0.276142715457787,Estimable
GCDT_081,42.2977269637881,0.276142717627694,Estimable
GCDT_082,42.2977267629233,0.276142715868636,Estimable
GCDT_083,42.2977268645406,0.276142715818192,Estimable
GCDT_084,42.2977268379285,0.276142718602158,Estimable
GCDT_085,42.2977266810318,0.276142714988711,Estimable
GCDT_086,42.2977270137362,0.27614271758691,Estimable
GCDT_087,42.2977266498162,0.276142717571119,Estimable
GCDT_088,42.2977267022194,0.27614271773777,Estimable
GCDT_089,42.2977267785958,0.276142718055433,Estimable
GCDT_090,42.2977267040468,0.276142719500936,Estimable
GCDT_091,42.2977267302003,0.276142712355996,Estimable
GCDT_092,42.2977268620959,0.276142714413316,Estimable
GCDT_093,42.297727172697,0.276142720502852,Estimable
GCDT_094,42.2977268080897,0.276142714000698,Estimable
GCDT_095,42.2977265646639,0.276142714897127,Estimable
GCDT_096,42.2977266618915,0.276142713463063,Estimable
GCDT_097,42.297727006895,0.276142715663721,Estimable
GCDT_098,42.2977270417331,0.276142715200518,Estimable
GCDT_099,42.2977269603234,0.27614271300158,Estimable
GCDT_100,42.2977270272434,0.276142715758742,Estimable
GCDT_101,42.2977272888431,0.276142714772253,Estimable
GCDT_102,42.2977272651559,0.276142714323414,Estimable
GCDT_103,42.2977269375471,0.276142726227918,Estimable
GCDT_104,42.2977269569352,0.276142713792337,Estimable
GCDT_105,42.2977269554516,0.276142713867786,Estimable
GCDT_106,42.2977267460896,0.276142717337215,Estimable
GCDT_107,42.2977271483528,0.276142716286137,Estimable
GCDT_108,42.2977270000171,0.276142712885739,Estimable
GCDT_109,42.2977269682599,0.276142714617184,Estimable
GCDT_110,42.2977273480243,0.27614271420761,Estimable
GCDT_111,42.2977270949878,0.276142716890477,Estimable
GCDT_112,42.2977271189127,0.276142712381402,Estimable
GCDT_113,42.2977270572027,0.276142715365028,Estimable
GCDT_114,42.2977270239477,0.276142713373163,Estimable
GCDT_115,42.29772701703,0.276142715565617,Estimable
GCDT_116,42.2977263956729,0.276142714555741,Estimable
GCDT_117,42.2977268192013,0.276142716209206,Estimable
GCDT_118,42.2977270706484,0.276142714903078,Estimable
GCDT_119,42.2977266280523,0.276142712409072,Estimable
GCDT_120,42.2977269576737,0.276142713758796,Estimable
GCDT_121,42.2977267756412,0.276142717116277,Estimable
GCDT_122,42.2977268872856,0.276142714152902,Estimable
GCDT_123,42.2977268804275,0.276142716242394,Estimable
GCDT_124,42.2977268330244,0.276142717682831,Estimable
GCDT_125,42.2977269242988,0.276142715957585,Estimable
GCDT_126,42.2977272327703,0.276142717890368,Estimable
