f23g,predicted.value,std.error,status
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO001F111C,34.1920632845404,1.17286697049617,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO001F112C,34.8511832408213,1.11781015535065,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO001F113C,34.2088103938017,1.17218555582843,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO001F114C,34.2446289931339,1.17354811924203,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO002F111C,34.2377072828206,1.07144200344568,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO002F112C,34.5571385275808,1.11658032680394,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO003F111C,34.3913872514344,1.1203300274517,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO003F112C,34.6426527352575,1.12147930832692,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO003F113C,33.5980868382387,1.11887500306233,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO004F111C,34.453702355595,1.0728099375295,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO004F112C,34.023141537341,1.17203037486181,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO004F113C,33.9950289775567,1.07299767112612,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10001F111C,34.3434272975652,1.07195694784878,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10001F113C,34.4448425348497,1.17219904376277,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10001F114C,34.4276762154286,1.17238986653697,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10001F116C,34.0120445544757,1.17248966246169,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10001F118C,34.5452638969983,1.17225836568729,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10002F112C,34.2552837285364,1.11917285395551,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10002F113C,34.545319941394,1.17217689815736,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10002F114C,34.4202823810711,1.17253652611459,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10002F115C,33.7964081570602,1.17224189753145,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10002F116C,34.7713359897113,1.11793464840838,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10003F111C,34.4471961484343,1.17183077934602,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10003F113C,34.9740731037383,1.17191124496436,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10003F114C,33.9995375686883,1.07524156243673,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10003F115C,34.0568197219022,1.17152756621677,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10003F116C,34.401875478913,1.17209572785793,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10004F116C,33.3509735127272,1.17188489522761,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10004F118C,34.0936252729657,1.11704401121751,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10004F119C,33.8263432609208,1.17176077984955,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10004F120C,33.0165280540543,1.07338851747407,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10005F111C,34.4166097316897,1.17386492630043,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10005F112C,34.4557678225753,1.17227582434931,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10005F113C,34.3990057333189,1.17226977017124,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10005F116C,34.9292662807489,1.1176793774386,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10005F117C,34.3184238578186,1.17229480112632,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEN  118001F111C,34.1561625198939,1.17532287350078,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEN  118001F112C,34.572868876337,1.17277479056826,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEN  118001F118C,34.3747289408102,1.17234676824691,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEN  118001F119C,33.7791109158931,1.11911172840249,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEN  118002F111C,33.2986769293388,1.11679315252815,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEN  118002F112C,33.3338721424751,1.11969119297658,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEN  118002F114C,33.7875536498458,1.17218087981364,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SEN  118002F115C,34.093830708805,1.11790411354333,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155001F111C,33.4397434242346,1.17204248572685,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155001F120C,34.317074594791,1.17177424300951,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155001F125C,33.9222974207686,1.17378065011823,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155001F132C,34.5415447438945,1.17357188531233,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155001F135C,34.2407570781608,1.17155613380028,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155001F137C,34.2611423304638,1.17256075314292,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155001F138C,34.1514298603906,1.17289688493391,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155002F102C,33.4672313905536,1.17220733292061,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155002F104C,34.1568930511415,1.17255952642505,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155002F105C,34.2977334939028,1.17222502228413,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155002F115C,34.5628573392055,1.17225961241142,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155002F117C,33.3188005944485,1.17241804268186,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155002F123C,33.6821170369451,1.17353525061173,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155002F125C,33.6143724951835,1.17223327628914,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155003F117C,34.2860749505622,1.1180007951338,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155003F119C,33.9528491107214,1.11993858948237,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155003F126C,34.2624885302549,1.24002715737791,Estimable
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155003F127C,34.3882138543631,1.17285516828752,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X ICTA LIGERO001F111C,34.6743266575304,1.11682255828155,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X ICTA LIGERO001F112C,35.3014447920561,1.11830571736761,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X ICTA LIGERO001F113C,34.5075049117653,1.11785707776658,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEF   10002F111C,33.5869315816143,1.17278561592779,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEF   10002F112C,34.056948066009,1.17211077622245,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEF   10002F114C,34.6513701581345,1.17521832736906,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEF   10002F116C,34.0005191217153,1.17234360722564,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEF   10002F117C,33.9119259165406,1.17510799837618,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEF   10002F118C,34.8212681675517,1.17215269683558,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEF   10002F120C,33.8540838982145,1.1725837129082,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEN  118002F111C,33.8420127408953,1.07202655051927,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEN  118004F111C,33.8533297560622,1.11944290379409,Estimable
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SMR  155003F111C,34.5859785972879,1.11778492174404,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO001F111C,34.1820956970538,1.07460375034336,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO001F112C,34.61452463456,1.1722316607423,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO002F111C,35.0929962481203,1.07122067645732,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO003F112C,34.7009924350529,1.17269237649325,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO003F113C,34.5007833648517,1.17245109226041,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO003F114C,34.3003455908166,1.17151728939919,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO003F115C,34.2968358047878,1.17503361063286,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO004F112C,33.382382976304,1.17266900381155,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO004F113C,33.6714340509841,1.17321752485179,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO004F114C,33.7901303768005,1.17509683283601,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO004F115C,34.5535148854345,1.17229287206748,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO004F117C,34.4127207239747,1.11663744292454,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO004F119C,34.4976679094479,1.17277868880225,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO005F114C,34.0246553057491,1.17270382950642,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO005F115C,34.4728849517263,1.17184352249721,Estimable
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO005F116C,34.5659273476862,1.17224052468468,Estimable
