Genotype,predicted.value,std.error,status
AMADEUS,39.6662170690145,2.24320838390297,Estimable
DOR 390,42.6565634399289,2.25504845576592,Estimable
G40056,40.2386486309249,2.27090030504815,Estimable
G40111,40.1712197105622,2.25852533958155,Estimable
G40287,43.460990580009,2.25435154243587,Estimable
GCDT_001,39.118569741872,2.25881419341492,Estimable
GCDT_002,35.4891664968166,2.25926454668522,Estimable
GCDT_003,37.0072487235008,2.25495009534564,Estimable
GCDT_004,38.6044425205898,2.25742568872118,Estimable
GCDT_005,40.6060481459007,2.23942060248647,Estimable
GCDT_006,38.3359927578629,2.28869784893667,Estimable
GCDT_007,38.6150101948793,2.25436638410336,Estimable
GCDT_008,38.2679712053264,2.25864179738935,Estimable
GCDT_009,36.9236190970097,2.25438178633637,Estimable
GCDT_010,36.5979215981313,2.25398068726549,Estimable
GCDT_011,35.7786863010578,2.2719182540672,Estimable
GCDT_012,38.8888540142334,2.99871709603504,Estimable
GCDT_013,39.4120624789318,2.25617610118225,Estimable
GCDT_014,38.4288467968374,2.24044181956866,Estimable
GCDT_015,38.53702301343,2.25469226414827,Estimable
GCDT_016,42.2105855819063,2.24021248554738,Estimable
GCDT_017,41.232286288685,2.26582268297604,Estimable
GCDT_018,39.4038661308263,2.2755737433976,Estimable
GCDT_019,38.162968326216,2.24280921767325,Estimable
GCDT_021,35.6174668320546,2.27035103986853,Estimable
GCDT_022,39.1301276033197,2.24173662048356,Estimable
GCDT_023,38.4666768512482,2.25533036780933,Estimable
GCDT_024,39.2241568510122,2.24028923944281,Estimable
GCDT_025,35.3526596289508,2.24409093629222,Estimable
GCDT_026,38.1379153615921,2.25901496147083,Estimable
GCDT_027,38.8466395613597,2.23917853541578,Estimable
GCDT_028,41.8473201483345,2.26274117652492,Estimable
GCDT_029,42.7623875004397,2.25441444898377,Estimable
GCDT_030,40.4559280735895,2.25693282931331,Estimable
GCDT_031,37.7508917900084,2.2545331508778,Estimable
GCDT_032,38.9756699899349,2.26080319488701,Estimable
GCDT_033,40.9018139277588,2.26205364455848,Estimable
GCDT_034,38.2733072277181,2.24220280572284,Estimable
GCDT_035,38.1735989108966,2.25775621774068,Estimable
GCDT_036,41.9686995773587,2.27527923403196,Estimable
GCDT_037,42.7969290234336,2.26686327836976,Estimable
GCDT_038,37.4082382637951,2.25482125924871,Estimable
GCDT_039,39.8844520011287,2.25844201408518,Estimable
GCDT_040,36.64898815909,2.26260975575504,Estimable
GCDT_041,38.4728543375453,2.25866679417618,Estimable
GCDT_042,39.7985979997731,2.24069504379595,Estimable
GCDT_043,38.4480843414436,2.2409063894134,Estimable
GCDT_044,42.3279686008555,2.2576624494632,Estimable
GCDT_045,38.0898692021482,2.27306376073407,Estimable
GCDT_046,39.8970012673143,2.2397047242518,Estimable
GCDT_047,38.6215589584879,2.25547790288922,Estimable
GCDT_048,35.6425815075123,2.2423787619846,Estimable
GCDT_049,39.7511591592074,2.25698588623194,Estimable
GCDT_050,36.3058229410342,2.26225691736836,Estimable
GCDT_051,41.4470601979594,2.25735691478437,Estimable
GCDT_052,39.0955624309786,2.2399128514906,Estimable
GCDT_053,39.7799890927391,2.25484997698446,Estimable
GCDT_054,41.3545475602792,2.25735059813106,Estimable
GCDT_055,35.5936909536704,2.23949120510816,Estimable
GCDT_056,40.4169872596125,2.25551051134509,Estimable
GCDT_057,41.4756056887856,2.25753886997838,Estimable
GCDT_058,39.905987117613,2.246230800583,Estimable
GCDT_059,38.8888540142334,2.99871709603504,Estimable
GCDT_060,42.323821714547,2.25940761246558,Estimable
GCDT_061,41.3352319725271,2.26139150969489,Estimable
GCDT_062,40.0073515122265,2.2546513329906,Estimable
GCDT_063,38.6400423222401,2.23935733853946,Estimable
GCDT_064,42.5022805055254,2.25437966181654,Estimable
GCDT_065,41.6536693380784,2.2711814175669,Estimable
GCDT_066,37.5289717215825,2.25482922167374,Estimable
GCDT_067,38.3705853910813,2.24265564375633,Estimable
GCDT_068,38.6653913071811,2.23946805669941,Estimable
GCDT_069,36.4434537359996,2.24133705836609,Estimable
GCDT_070,36.2559202544208,2.24051224271155,Estimable
GCDT_071,38.8888540142334,2.99871709603504,Estimable
GCDT_072,42.4299090478515,2.25571980589588,Estimable
GCDT_073,38.9059111932346,2.24356566536303,Estimable
GCDT_074,39.2090364519661,2.2398966558986,Estimable
GCDT_075,39.0330498904697,2.26085718292347,Estimable
GCDT_076,35.813779718819,2.23975430577485,Estimable
GCDT_077,41.2398068855017,2.27648032192845,Estimable
GCDT_078,37.2661370178176,2.24050468997332,Estimable
GCDT_079,38.4874680013523,2.2553195463543,Estimable
GCDT_080,40.9843578791124,2.25534235669981,Estimable
GCDT_081,40.1320611987794,2.2553768480826,Estimable
GCDT_082,42.5094852034068,2.24769281518403,Estimable
GCDT_083,38.6869393334043,2.24065618191274,Estimable
GCDT_084,37.7403424433132,2.24666375734392,Estimable
GCDT_085,36.4334922929299,2.24080591111291,Estimable
GCDT_086,38.5861781615902,2.23974350356367,Estimable
GCDT_087,36.5679736919511,2.24022903067364,Estimable
GCDT_088,36.5883377599324,2.26169057879415,Estimable
GCDT_089,36.3240579670536,2.24009737826913,Estimable
GCDT_090,38.8888540142334,2.99871709603504,Estimable
GCDT_091,38.3722148423582,2.25471535336824,Estimable
GCDT_092,35.355951880782,2.24102548190583,Estimable
GCDT_093,39.1354691313162,2.2558546075603,Estimable
