Genotype,predicted.value,std.error,status
AMADEUS,39.2589205223782,4.19224756068274,Estimable
DOR 390,39.2589205223775,4.19224756068272,Estimable
G40056,38.6292918896148,1.36604460083323,Estimable
G40111,36.1807593134371,1.36138749501716,Estimable
G40287,39.2589205223775,4.19224756068269,Estimable
GCDT_001,34.2905446067265,1.36295164929825,Estimable
GCDT_002,39.258920522378,4.19224756068274,Estimable
GCDT_003,41.2437166875452,1.36031394732812,Estimable
GCDT_004,44.6851981076418,1.3324341601547,Estimable
GCDT_005,36.7220237631778,1.41852683267167,Estimable
GCDT_006,42.5907468930713,1.39364470498734,Estimable
GCDT_007,34.967130928645,1.4090269081593,Estimable
GCDT_008,37.7573555077369,1.37353645888845,Estimable
GCDT_009,36.1871512306435,1.35334105383353,Estimable
GCDT_010,29.8608405236585,1.34092569212986,Estimable
GCDT_011,37.6282904860994,1.38828930173488,Estimable
GCDT_012,39.2589205223771,4.19224756068259,Estimable
GCDT_013,41.1333753036912,1.35395121524786,Estimable
GCDT_014,34.1505502440251,1.35505058388412,Estimable
GCDT_015,43.4892973929244,1.39432628638664,Estimable
GCDT_016,36.9637289328984,1.41961670987819,Estimable
GCDT_017,35.6940848231244,1.39655217489661,Estimable
GCDT_018,43.3032963830845,1.36915772314225,Estimable
GCDT_019,34.9852981518193,1.32647135332765,Estimable
GCDT_020,37.5201742677381,1.39856769614451,Estimable
GCDT_021,33.0983623215719,1.35515845604199,Estimable
GCDT_022,45.5400681807638,1.38923242097792,Estimable
GCDT_023,42.4963638622026,1.33383455784343,Estimable
GCDT_024,37.5800473507645,1.40217569762769,Estimable
GCDT_025,45.2363210268203,1.34595960395551,Estimable
GCDT_026,41.8987613606259,1.4418427713055,Estimable
GCDT_027,33.5469252274488,1.37648588830703,Estimable
GCDT_028,43.222625127111,1.4171265805487,Estimable
GCDT_029,41.1278573087075,1.38499506434216,Estimable
GCDT_030,33.919067907289,1.36721971406746,Estimable
GCDT_031,37.6312597203789,1.43065355961858,Estimable
GCDT_032,37.8128708136694,1.32562814043935,Estimable
GCDT_033,40.2080335747125,1.40038711843229,Estimable
GCDT_034,39.1482506243497,1.35055599913721,Estimable
GCDT_035,38.3644470371542,1.35348787033279,Estimable
GCDT_036,38.6939789693167,1.35270418519864,Estimable
GCDT_037,43.6487030560944,1.37085232943153,Estimable
GCDT_038,43.9853904845609,1.34505463271719,Estimable
GCDT_039,39.6576110659081,1.39588271435998,Estimable
GCDT_040,37.8274811841338,1.32775734237088,Estimable
GCDT_041,38.226736409427,1.40507473553079,Estimable
GCDT_042,40.1366654370341,1.35062002830365,Estimable
GCDT_043,39.2589205223776,4.19224756068274,Estimable
GCDT_044,37.9806465555149,1.33172688027597,Estimable
GCDT_045,34.5810317079763,1.35008394325218,Estimable
GCDT_046,39.258920522378,4.19224756068274,Estimable
GCDT_047,36.9124259640645,1.46748308717999,Estimable
GCDT_048,30.1776112431716,1.38010626752051,Estimable
GCDT_049,41.9528878737578,1.33275553525138,Estimable
GCDT_050,31.3668541460914,1.4504171699923,Estimable
GCDT_051,39.2589205223776,4.19224756068265,Estimable
GCDT_052,38.1886845083445,1.45213453064524,Estimable
GCDT_053,34.8355780291427,1.37652090243106,Estimable
GCDT_054,38.5684404667809,1.39272019429008,Estimable
GCDT_055,42.9776482073519,1.40587339312355,Estimable
GCDT_056,34.1794040309755,1.34354432712273,Estimable
GCDT_057,41.4763858474113,1.34512958964472,Estimable
GCDT_058,43.1711113485079,1.33471594742657,Estimable
GCDT_059,39.2589205223775,4.19224756068272,Estimable
GCDT_060,39.5537496225286,1.36413347748304,Estimable
GCDT_061,38.7624993029274,1.3565182937737,Estimable
GCDT_062,36.9891544452502,1.42357719786776,Estimable
GCDT_063,45.4614096216594,1.36307443372434,Estimable
GCDT_064,48.8569545485905,1.38653169976493,Estimable
GCDT_065,39.1831867106316,1.33604252132635,Estimable
GCDT_066,42.8229173259866,1.37588379656405,Estimable
GCDT_067,43.5057298119383,1.33910345409001,Estimable
GCDT_068,37.8719565836133,1.35852173550469,Estimable
GCDT_069,41.576099092947,1.37524786483445,Estimable
GCDT_070,33.5912804700957,1.38389167529158,Estimable
GCDT_071,31.5295655353226,1.34184634371858,Estimable
GCDT_072,35.287806586736,1.40679236619594,Estimable
GCDT_073,41.067875406078,1.37219437021742,Estimable
GCDT_074,39.2589205223772,4.19224756068267,Estimable
GCDT_075,38.5064793595554,1.38871441239715,Estimable
GCDT_076,45.7022713564754,1.40340420525563,Estimable
GCDT_077,39.6796483006477,1.45481072705547,Estimable
GCDT_078,42.3261890249137,1.3893859303815,Estimable
GCDT_079,32.6863045953705,1.36287002692284,Estimable
GCDT_080,36.268258514694,1.39177481484472,Estimable
GCDT_081,42.780392931024,1.3321737204792,Estimable
GCDT_082,37.55329946123,1.34417562344506,Estimable
GCDT_083,39.3770039868734,1.34495036289809,Estimable
GCDT_084,43.0938582193763,1.35701412656074,Estimable
GCDT_085,34.1510051644641,1.42639022353509,Estimable
GCDT_086,42.0623869067236,1.35425968503583,Estimable
GCDT_087,33.6643987889053,1.38121077453012,Estimable
GCDT_088,33.1723441751895,1.339446632087,Estimable
GCDT_089,35.1782212039417,1.37972671604058,Estimable
GCDT_090,33.1186143211879,1.34952069627004,Estimable
GCDT_091,37.3605891667146,1.35538969997941,Estimable
GCDT_092,38.993364605129,1.33393513194764,Estimable
GCDT_093,45.1763309875017,1.40781101139697,Estimable
GCDT_094,38.7964001544486,1.35310747479015,Estimable
GCDT_095,34.468838680109,1.33184109189091,Estimable
GCDT_096,44.3403610510186,1.39931319855404,Estimable
GCDT_097,45.1607480347144,1.34271871725678,Estimable
GCDT_098,42.2451207839645,1.44569485029621,Estimable
GCDT_099,41.1833764466024,1.35417379200065,Estimable
GCDT_100,45.408145665407,1.45965511700131,Estimable
GCDT_101,41.1294370954673,1.39273563827054,Estimable
GCDT_102,39.4197707122384,1.3708617245709,Estimable
GCDT_103,42.5114598324885,1.42642357860103,Estimable
GCDT_104,38.6526393536402,1.36902411502862,Estimable
